tweet,date
"RT @URDailyHistory: 23 April 1945: Reichsführer-SS Heinrich Himmler, in negotiations with head of the Red Cross Count Folke #Bernadotte tha…",Fri Apr 23 23:59:49 +0000 2021
"RT @PS5only: Biomutant PS4 $59.99 
*PS5 also plays PS4 games
🇺🇸 Amazon USA https://t.co/bE7ge0HE6w https://t.co/qdD3rCjZlG",Fri Apr 23 23:59:49 +0000 2021
"RT @GuallaDeals: 70% off with promo code: 706XR4S2, through 4/23 while supplies last.
#ad 

https://t.co/Sp6ZIgwPnW",Fri Apr 23 23:59:43 +0000 2021
"Nintendo Switch High Speed Car Charger by HORI Officially Licensed by Nintendo - 51% OFF ON AMAZON

https://t.co/uZ4hdlacvx",Fri Apr 23 23:59:41 +0000 2021
"Yep! Magnesium keeps me regular, helps me to sleep deeply, and it's amazing for any type of muscle and heart proble… https://t.co/FfpHuZ5jUk",Fri Apr 23 23:59:41 +0000 2021
"RT @svdate: One hour from now, at 6:14 pm, will be precisely 1 year from the moment that millions of people in America and around the world…",Fri Apr 23 23:59:34 +0000 2021
"RT @GuallaDeals: 80% off with promo code: 80L4RDYK, through 4/23 while supplies last.
#ad 

https://t.co/9BbankKOnQ",Fri Apr 23 23:59:30 +0000 2021
"RT @Wario64: Tales of Arise (PS5) is up for preorder on Amazon ($59.99) https://t.co/Wau0gArMEv
PS4 https://t.co/dccvEjrtlU
Xbox https://t.…",Fri Apr 23 23:59:26 +0000 2021
"RT @GuallaDeals: 80% off with promo code: 80L4RDYK, through 4/23 while supplies last.
#ad 

https://t.co/96aToxKzb2",Fri Apr 23 23:59:26 +0000 2021
"RT @GuallaDeals: 80% off with promo code: 80L4RDYK, through 4/23 while supplies last.
#ad 

https://t.co/uYw6pu5R03",Fri Apr 23 23:59:25 +0000 2021
"RT @URDailyHistory: 23 April 1939: The greatest hitter of all time, #Boston Red Sox outfielder Ted Williams, hits his first home run agains…",Fri Apr 23 23:59:22 +0000 2021
Gorge: My Journey Up Kilimanjaro at 300 Pounds - by Kara Richardson Whitely  #books #hike #africa #adventure… https://t.co/Y67xEI8s4P,Fri Apr 23 23:59:21 +0000 2021
"RT @GuallaDeals: 80% off with promo code: 80L4RDYK, through 4/23 while supplies last.
#ad 

https://t.co/BIwkukxlT5",Fri Apr 23 23:59:19 +0000 2021
“Start doing more by doing less.” ~ Frank Sonnenberg https://t.co/h3J2B9gd7O #BookSmart,Fri Apr 23 23:59:12 +0000 2021
"Steal!

Neewer 2-Pack Dimmable 5600K USB LED Video Light with Adjustable Tripod Stand and Color Filters for Tableto… https://t.co/sQB34Xb55x",Fri Apr 23 23:59:09 +0000 2021
"1.@P13HoldingsInc &amp; 2.@BlackBerry 

2 #GreatStocks Under $10 @themotleyfool #stocks $PLNH.F $BB $AMZN $XLK $CURLF… https://t.co/zdi631iHcH",Fri Apr 23 23:59:08 +0000 2021
"STEAL!!    

2 pack of LED Video/Photo Lighting Kit, $22.43!!

Save 56% with promo code 56FDUL421… https://t.co/4zWwbeR5FO",Fri Apr 23 23:59:00 +0000 2021
"RT @Benzinga: Can the #DogeArmy get #Dogecoin accepted on @amazon $AMZN as a form of payment?  👀
#Doge4Amazon

@DogecoinRise #DogecoinRise…",Fri Apr 23 23:59:00 +0000 2021
"Funko Pop! NBA: Legends - Allen Iverson (Sixers Home)
https://t.co/Pvj5jYufMR #Ad",Fri Apr 23 23:58:56 +0000 2021
"RT @knowlesynow: My band, @Wintergreenband  is featured on @Horacitu  latest podcast of cultural reviews in Mexico  Our following over ther…",Fri Apr 23 23:58:54 +0000 2021
"RT @WorldOfWomenCom: 🎵🎶 Battle Scars 
Nathalie Miranda @vocalfreaknat 
#WoWmusic4u #music 
🎧 MP3s&gt; https://t.co/iDIuml5JGo 
https://t.co/81…",Fri Apr 23 23:58:51 +0000 2021
"RT @toysbeetle: Stock in back‼️
Marvel Hasbro Legends Series Thanos on Amazon-https://t.co/wdw259j1FD

#MARVELLEGENDS",Fri Apr 23 23:58:50 +0000 2021
$spy $spx $ndx $qqq $tsla $pltr $aapl $amzn $twtr $fb $msft $nflx $crm $penn $nvda $googl $shop $f $tdoc $gld $luv… https://t.co/rGcfSId6oD,Fri Apr 23 23:58:49 +0000 2021
"RT @LAmapolama: https://t.co/pO5KLJTx1I
city farming #led grow lights #amazon #discount https://t.co/F03w1pLgya",Fri Apr 23 23:58:46 +0000 2021
"Tales of Arise is up for preorder 

Platform-

PS5: https://t.co/pSQ1DcA8cX 

PS4: https://t.co/5I8RtNB8Tx

Xbox On… https://t.co/g6dCwqecSz",Fri Apr 23 23:58:44 +0000 2021
"@PackardShow Thanks for reaching out. For more information about  How to edit book or author information, please cl… https://t.co/ikPCgleAtO",Fri Apr 23 23:58:36 +0000 2021
"RT @FatKidDeals: Series 6 Open Box Return Apple Watches on sale!
(With warranty)

40mm- $262; https://t.co/Re7m6Uda97

$284; https://t.co/1…",Fri Apr 23 23:58:34 +0000 2021
"RT @FatKidDeals: Series 6 Open Box Return Apple Watches on sale!
(With warranty)

40mm- $262; https://t.co/Re7m6Uda97

$284; https://t.co/1…",Fri Apr 23 23:58:27 +0000 2021
"RT @michellebetham: Beautiful Dangerous is still absolutely FREE to download until Sunday. Just saying... 🙂

🇺🇸https://t.co/PXmG2SBrfC
🇬🇧ht…",Fri Apr 23 23:58:26 +0000 2021
RT @Nintendeal: Nintendo Switch High Speed Car Charger is 51% off on Amazon: https://t.co/1miUc13oHw #ad $9.88 officially licensed by Ninte…,Fri Apr 23 23:58:22 +0000 2021
"Agents of Mayhem is now only $8.56

Get it here at Amazon ==&gt; https://t.co/PLVuH7g9Lm 

Is like Fortnite...but your… https://t.co/2yfMY8JJEy",Fri Apr 23 23:58:18 +0000 2021
"80% off #Glitter #Case #iPhone #Pro 

Use promo code: 8026FXKO
Works on both options with a quantity limit of 1… https://t.co/UcHfkpYXNb",Fri Apr 23 23:58:16 +0000 2021
"Series 6 Open Box Return Apple Watches on sale!
(With warranty)

40mm- $262; https://t.co/Re7m6Uda97

$284;… https://t.co/1N6mimTKZ9",Fri Apr 23 23:58:14 +0000 2021
RT @Nintendeal: Cowboy Bebop OST 2xLP Vinyl set is 13% off on Amazon: https://t.co/DHYx35rt8N #ad $27.96 https://t.co/ivMZ8ubmML,Fri Apr 23 23:58:05 +0000 2021
@allenbaylus That you for this update! We're unable to access your account information via Twitter. So we can bette… https://t.co/xwfZUtOsWj,Fri Apr 23 23:57:56 +0000 2021
"@Siren_xs Thank you for the response! We'd like to look into this a little further. When you have a moment, please… https://t.co/5doM9Uq6oC",Fri Apr 23 23:57:53 +0000 2021
"RT @GlenisKellet: The Village Narcissist - Reviewed by Dare Rogers - Best book I've read this year!!!
https://t.co/lGgEa6DFCh…
https://t.co…",Fri Apr 23 23:57:48 +0000 2021
RT @data168: $GOOGL is much stronger $AMZN recently.  Googl  may run more EOD.  bought dip 2300 and sold for 80% (didn't post). still have…,Fri Apr 23 23:57:41 +0000 2021
Here is the current in-park lodging availability for next 2 weeks. A bracelet that can save your life?… https://t.co/rNfBqh1Vjy,Fri Apr 23 23:57:37 +0000 2021
"Grab a PREUP Beauty and The Beast Rose, Forever Rose Flowers L for only £18.99
https://t.co/7mrpJYuVci https://t.co/7nv3YdBvKc",Fri Apr 23 23:57:36 +0000 2021
"To no one's surprise, I'm reading this month's Writers Workshop book tonight: Strangers To Superfans: A Marketing G… https://t.co/FOp4NIcQCW",Fri Apr 23 23:57:26 +0000 2021
@RyanKrolAuthor TY @RyanKrolAuthor! Visit➡️https://t.co/urcWQObBk4 2 enter my #giveaways 4 #VBT 4 #middlegrade Elan… https://t.co/JLNleIpo7l,Fri Apr 23 23:57:22 +0000 2021
"RT @VIZMedia: Cover reveal! 🤝
My Hero Academia, Vol. 29 releases September 7, 2021.

Pre-order now: https://t.co/gm01SzGkUz https://t.co/1p…",Fri Apr 23 23:57:15 +0000 2021
"@pickledwrath Hi there. We're sorry for the poor experience. For clarification, are you waiting on a shipment that'… https://t.co/m51sbH76zI",Fri Apr 23 23:57:13 +0000 2021
#wedding #dogeday #dogecoin #deal #gift #gifts #giftideas #shop #shopping #doge #dogecoin #DogecoinToTheMoon… https://t.co/j1Kr9Gmu41,Fri Apr 23 23:57:11 +0000 2021
"RT @svdate: One hour from now, at 6:14 pm, will be precisely 1 year from the moment that millions of people in America and around the world…",Fri Apr 23 23:57:10 +0000 2021
RT @michaelscat2: The neighborhood cats went crazy for these catnip toys: https://t.co/c0pIZxsTVo #Amazon https://t.co/JPmP6xbMZW,Fri Apr 23 23:57:09 +0000 2021
"Digimon X Bandai Digivice-White &amp; Blue will be released on July 15, 2021 on Amazon-https://t.co/tbB6yWWGZ8

#Digimon",Fri Apr 23 23:57:05 +0000 2021
"RT @NatalieWeston12: My Sexy Boss (A Bad Boy Office Romance) By Chiah Wilder
#Download #Free with #KU 
Amazon US: https://t.co/i3Pyq3Pm1D
A…",Fri Apr 23 23:56:59 +0000 2021
RT @StateOverse: #Statoversians rejoice for @Hasbro’s #FanFirstFriday Deluxe #Thanos Super SICK #actionfigure is AGAIN available for preord…,Fri Apr 23 23:56:59 +0000 2021
"igourmet The Little Bit of Everything Collection - Emergency Food Supply Kit Package For Family (4 pound) 
https://t.co/lEyftOrTl9 amazon",Fri Apr 23 23:56:58 +0000 2021
"Lil Peach First 5 Years Dream Big Wordplay Baby Memory Book, Memory Journal, Gray
https://t.co/qboDK26Mpi https://t.co/BHjRv8h7g6",Fri Apr 23 23:56:56 +0000 2021
"Follow for new amazing #photographs
Camera : https://t.co/egvsp7Cids
Lens : https://t.co/BiXTJGiRg9
#photo… https://t.co/cDw246YqrL",Fri Apr 23 23:56:54 +0000 2021
