tweet,date
"RT @JennyBurnley1: 5 stars: ""Thrilling #scifi adventure!""
 ZENZORIS RETURNS 
https://t.co/TmDD1eM48S  
#Kindle #ebook #fantasy https://t.co…",Tue Apr 27 23:59:58 +0000 2021
"RT @FatKidDeals: Get ready for Summer!!

Pop Up 10x10 Foot Canopy Tent for $68.99!
*includes warranty!!

https://t.co/4FTOA85dmn https://t.…",Tue Apr 27 23:59:46 +0000 2021
"RT @lilaeris_9: Looking for #scifi in a variety of lengths? I’ve got you covered!

📖Novella: werewolves on an alien planet https://t.co/4pb…",Tue Apr 27 23:59:41 +0000 2021
Hard to find (retail price)! Amazon has the LEGO 75290 Master Builder Series Star Wars: A New Hope Mos Eisley Canti… https://t.co/oxIZv92btD,Tue Apr 27 23:59:40 +0000 2021
"RT @robkhenderson: ""A tragic story is not merely a sad story. In a sad story the hero dies or fails in his enterprise...The tragic story ha…",Tue Apr 27 23:59:35 +0000 2021
"🔥It's Hot!
🦑TURN TO ASH-OPEN LINES🦑
😱Of my Essay ""HPL &amp; The Primal Origins of Late Night Radio"" a reviewer wrote-Th… https://t.co/w6QVchGox5",Tue Apr 27 23:59:30 +0000 2021
"RT @StealsandDeals: ad: $19.54 (45% off)

5000mAh Hand Crank Solar Weather Radio with LED Flashlight / Reading Lamp, USB Cell Phone Power C…",Tue Apr 27 23:59:26 +0000 2021
“Our future is dependent on our kids. And the future of your children is dependent on you.” ~Frank Sonnenberg… https://t.co/wDyXx7aHfF,Tue Apr 27 23:59:16 +0000 2021
Citizen Kane ASICS Women's Hyper-Rocketgirl SP 6 Cross Country Spike Shoe https://t.co/pC3sQwvaxe  Casemiro  Courtois  Bill Burr,Tue Apr 27 23:59:16 +0000 2021
"RT @SusanneLeist: Shine a little light
on the creatures of the night.
He comes for me,
but will he set me free?

PREY FOR THE DEAD

https:/…",Tue Apr 27 23:59:13 +0000 2021
"Amazon Fire TV Stick: Streaming videos, music, tv shows. https://t.co/EmSqxqceSc *affiliatelink https://t.co/iD9JAIDf8u",Tue Apr 27 23:59:13 +0000 2021
RT @CAASBREY: https://t.co/FrTNfaSzmI I love this series so much! Great characters who remain with you long after reading the books. Wonder…,Tue Apr 27 23:59:04 +0000 2021
"STEAL!!

2 pack of LED Video/Photo Lighting Kit, $22.43!!   

Save 56% with promo code 56FDUL421… https://t.co/3YzN7ObVks",Tue Apr 27 23:59:00 +0000 2021
"Paranormal Detectives

40% off as part of today's Deal of the Day at Amazon.

#ad https://t.co/UCXD9d5JgA
TGDrepost https://t.co/0b6TXynNrL",Tue Apr 27 23:59:00 +0000 2021
"RT @RedDogT3: Here’s some of my $amzn thoughts as many debate on Wall Street. But, I’m just a market technician that tries to use some prag…",Tue Apr 27 23:58:52 +0000 2021
RT @CSMcDonald7: It's #KentuckyDerby week! Celebrate the #runfortheroses with a fun whodunit from #FionaQuinnMysteries SADDLE UP FOR MURDER…,Tue Apr 27 23:58:51 +0000 2021
@NeuroticChic We're sorry to hear about this poor experience. A member of our Operations team would like to look in… https://t.co/y8upN46HOk,Tue Apr 27 23:58:40 +0000 2021
Can’t fit in your spring clothes? A Tired Older Woman Loses Weight &amp; Keeps It Off https://t.co/Xg9Uk3JKOD #Diet… https://t.co/DjH1flmTxx,Tue Apr 27 23:58:37 +0000 2021
RT @bigtickHK: Assignment Russia: Becoming a Foreign Correspondent in the Crucible of the Cold War by Marvin Kalb https://t.co/1M014NgdGI h…,Tue Apr 27 23:58:24 +0000 2021
"RT @1DannyStewart: Applying Gap Rules to 9 #stocks to help YOU into #earnings #StockNerds 👉 https://t.co/8pGRrIYBK1 Spam Free Research 

$S…",Tue Apr 27 23:58:24 +0000 2021
"RT @EVazquezPerez: Their legendary serenades, the last hope for the unaccompanied and brokenhearted, are sought out by those who believe in…",Tue Apr 27 23:58:22 +0000 2021
"RT @PS5only: 🥇PS5 Game Charts USA
Today's Best Selling PS5 Games
🇺🇸 Amazon USA https://t.co/e7ac2JDXBs https://t.co/nQUDsMKMwT",Tue Apr 27 23:58:22 +0000 2021
"Agents of Mayhem is now $8.56

Get it here on Amazon ==&gt; https://t.co/PLVuH7g9Lm 

Is like Fortnite but...you got m… https://t.co/ksHXhFUbad",Tue Apr 27 23:58:19 +0000 2021
"RT @bigtickHK: Girl, 11 by Amy Suiter Clarke https://t.co/lBH6TCqm4h https://t.co/wtRTLqnNKY #Books #Novel #Fiction #CrimeFiction #Thriller…",Tue Apr 27 23:58:13 +0000 2021
