tweet,date
if this was longer this would’ve been the best song on the album  https://t.co/N7K2xSkHVu,Wed Apr 28 23:59:59 +0000 2021
"RT @thehouseofpod: New Episode!

We talk about gender equity and sexual harassment in medicine with @arghavan_salles and @JusticeInMed and…",Wed Apr 28 23:59:59 +0000 2021
whoever curates the playlists for apple music needs to step it up. they not seeing miss spotify https://t.co/S81bJipsx5,Wed Apr 28 23:59:59 +0000 2021
"RT @iQIYI: Mentor #LISA cutely reminds us to go eat! 🍚 Have YOU eaten yet, Youth Producers?

Catch #YouthWithYou3 FIRST and vote only on ht…",Wed Apr 28 23:59:59 +0000 2021
RT @thaiguy84: Our conversation with @caitlin_thomps is another favorite of mine. We had the pleasure to talk to the founder of @racqetmaga…,Wed Apr 28 23:59:58 +0000 2021
"RT @appleinsider: #Apple's gross margin for Q2 2021 is 42.5%, achieved through a strong #iPhone sales mix. https://t.co/EcATP8LjVN https://…",Wed Apr 28 23:59:57 +0000 2021
"WATCH: Apple just released the latest software update, and with it comes all new emojis. If you ask Gen-Z, a lot of… https://t.co/jWv3qaH6FD",Wed Apr 28 23:59:56 +0000 2021
"RT @RudyGiuliani: 3 minutes every American NEEDS to watch! There is a CONCERTED EFFORT to corrupt our children. @robbystarbuck says ""the Le…",Wed Apr 28 23:59:56 +0000 2021
"@nkomjati If you want sex blimps you hate America and apple pie, Nick",Wed Apr 28 23:59:56 +0000 2021
"RT @jason_kint: 78 seconds. Listen closely. Apple has kneecapped Facebook pushing out an update fo 1+ BIL devices. 
Remember:
1) in no way…",Wed Apr 28 23:59:55 +0000 2021
@Donald_Lindeman @stephenwertheim @Princeton That’s loony. Trump continued the exact same policies of Bush and Obam… https://t.co/7OPnpdZXS5,Wed Apr 28 23:59:55 +0000 2021
"@sonomagurl hey,
Have a look at this free mental health booster app (doesn't replace medicine) built by me. This sh… https://t.co/4aopS5nZLZ",Wed Apr 28 23:59:54 +0000 2021
@iamsoautistic @sadietwt balls apple make me #mentallyill,Wed Apr 28 23:59:54 +0000 2021
My Apple Watch 6 edition came in. But it was shipped to my sister address in DC 😂😂😂😂. She got my Versace perfume to… https://t.co/X9sliQar1L,Wed Apr 28 23:59:53 +0000 2021
@HelpSupercard I was charged 8 times for failed attempts. I’ve had issues before with not receiving a purchase and… https://t.co/VR9Y1bPxeA,Wed Apr 28 23:59:53 +0000 2021
I'd even take the food out the fridge (that's right) &amp; I'll take all the knobs off the stove 😭 #TP3StreamingParty  https://t.co/5FXEpKbpyY,Wed Apr 28 23:59:52 +0000 2021
India Is Showing Developing Countries How to Quickly Transition to Solar - Bloomberg Businessweek https://t.co/TE7fiCf0xr,Wed Apr 28 23:59:51 +0000 2021
You treated me badddddddd https://t.co/HilIWpCkAD,Wed Apr 28 23:59:51 +0000 2021
"RT @justinchartdata: .@justinbieber's ""Justice"" has now spent 40 days at #1 on Apple Music Worldwide. It's his first album to achieve this.…",Wed Apr 28 23:59:50 +0000 2021
no no no. the answer is not to kill one of our beautiful species  https://t.co/PW4fvTkN0W,Wed Apr 28 23:59:49 +0000 2021
"Apple’s sales and profits surge amid soaring demand for iPhones, Macs https://t.co/l9PQ9C5vNH",Wed Apr 28 23:59:49 +0000 2021
"RT @GlobalBlackPink: [ 🚧 ] HELLO BLINKS~ Kindly start streaming the album &amp; improve our Streams! Vote &amp; Stream for @BLACKPINK 

💿 THE ALBUM…",Wed Apr 28 23:59:48 +0000 2021
"RT @BubbleQuartz: I still don't know why Kiki is always drawn with ravens and I don't wanna know yet, I'm only on like episode 20-
#Critica…",Wed Apr 28 23:59:47 +0000 2021
"RT @CNBC: Apple just recorded a 42.5% gross margin for the quarter, the highest in nine years https://t.co/dJBz5rhFRK",Wed Apr 28 23:59:46 +0000 2021
"RT @StatsWizkid: |🇿🇦 SOUTH AFRICA APPLE:

9. Wizkid – #MadeinLagos [+4]

https://t.co/iDofr2Lj6O",Wed Apr 28 23:59:45 +0000 2021
"RT @jason_kint: 78 seconds. Listen closely. Apple has kneecapped Facebook pushing out an update fo 1+ BIL devices. 
Remember:
1) in no way…",Wed Apr 28 23:59:45 +0000 2021
"RT @MA50CHI5T: Currently No.2 in 🇺🇸 

Buy Lady Marmalade on iTunes 

https://t.co/1du5YCqmx9",Wed Apr 28 23:59:45 +0000 2021
Walmart suck ass for not accepting Apple Pay,Wed Apr 28 23:59:45 +0000 2021
RT @pommeplisa: may I give you something old I still love https://t.co/nmd0erv2Mp,Wed Apr 28 23:59:45 +0000 2021
bro i really lost my left airpod tho like 🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲🥲 ill kms like what would Apple do if… https://t.co/2ulixZDTvd,Wed Apr 28 23:59:44 +0000 2021
"RT @_summerdecember: ค่อยๆ รัก #เจ๋งพัท

chapter 39
the apple of my eye 🍎

/ raw https://t.co/wwjG80BlIf
/ dek-d https://t.co/VNevKZNHR2

(…",Wed Apr 28 23:59:44 +0000 2021
@CliPeuM_ @ScrimsCenter Anytime! And Yessir! Search DOZEN nightfall on Spotify or Apple Music ! Or DOZEN official o… https://t.co/bVLvZMyi55,Wed Apr 28 23:59:44 +0000 2021
"RT @2cooI4skuII: I need Apple Music Armys to remember deleting their iTunes purchases before streaming on AM for them to count. And yes, I…",Wed Apr 28 23:59:44 +0000 2021
"RT @hibiscusss_: EVERY. SINGLE. MONTH?? 

@ God, why?

We apologized for the fruit/apple. 😭
It’s the men’s turn now, please!",Wed Apr 28 23:59:44 +0000 2021
BUT I I I KNOW I JUST GOTTA LET IT GO  https://t.co/mnTNzvUn5p,Wed Apr 28 23:59:43 +0000 2021
"RT @PabloTorre: For years, @JalenRose has claimed he is The Original Jalen: the one that inspired not just the many Jalens in the NFL/NBA D…",Wed Apr 28 23:59:43 +0000 2021
"Stream Da Coconut Nut by BINI on your favorite digital streaming platforms!

Spotify: https://t.co/6gdBBKQ376

Deez… https://t.co/JnrJYkBkSE",Wed Apr 28 23:59:43 +0000 2021
"@liette_mariee hey,
Have a look at this free mental health booster app (doesn't replace medicine) built by me. This… https://t.co/1Miq6wBoTI",Wed Apr 28 23:59:43 +0000 2021
This still love Lil Durk best song. https://t.co/cUX0j2H3sQ,Wed Apr 28 23:59:42 +0000 2021
RT @THEAlishaNicole: Apple know they could have left the USB ports on these laptops,Wed Apr 28 23:59:41 +0000 2021
"RT @justinchartdata: .@justinbieber's ""Justice"" has now spent 40 days at #1 on Apple Music Worldwide. It's his first album to achieve this.…",Wed Apr 28 23:59:41 +0000 2021
RT @Soyourreal: This song is sooooo good https://t.co/AYw2f9m1VU,Wed Apr 28 23:59:39 +0000 2021
"In leaked memo, Facebook warns of Apple's privacy change impact on ad campaigns: higher costs, smaller audience, pe… https://t.co/k4r0nRpxbq",Wed Apr 28 23:59:39 +0000 2021
"RT @Reuters: Apple soars past sales, profit targets, warns of chip shortages https://t.co/V3IEIgtShl https://t.co/WjD8diWzEj",Wed Apr 28 23:59:39 +0000 2021
RT @nevertoosweets_: Friendly reminder to check out @ETL_Echo 😎 We’re releasing TRTTD daily and have just released more by the author of RN…,Wed Apr 28 23:59:39 +0000 2021
@sadietwt @dsmpwilbur Le ballsack apple,Wed Apr 28 23:59:38 +0000 2021
RT @OscarVsTheWrldd: Thank you Apple Music for saving me 🙏 https://t.co/SEj2GiL4qb,Wed Apr 28 23:59:38 +0000 2021
I vote for ⁦@jethrotull⁩’s Cross-Eyed Mary as having the best opening 60 seconds in rock music history.  Give it a… https://t.co/9GB9Tx5IeY,Wed Apr 28 23:59:37 +0000 2021
RT @DevyStonez: We’re in good company! Check out “10 AM” ft. @boyjugomusic on ALT Rap on @AppleMusic around the world 🥂 https://t.co/teoEDJ…,Wed Apr 28 23:59:37 +0000 2021
PSA: Apple Music and iTunes outage affecting some users https://t.co/9TKRfWHB7K $AAPL https://t.co/CDQPmyxLQI,Wed Apr 28 23:59:36 +0000 2021
"@BENTLEYEVANS writer, producer, director from iconic shows such as Martin TV, Jamie Foxx Show &amp; @netflix… https://t.co/Kf9zkogcJN",Wed Apr 28 23:59:35 +0000 2021
"RT @chartdrew: ""Justice"" surpasses ""Changes"" and is now @justinbieber's album, with more days at # 1 (40) on the Apple Music Worldwide char…",Wed Apr 28 23:59:34 +0000 2021
"So @jackkramer just finished recording tomorrow's pod and it is absolutely, completely, absurdly The Best One Yet… https://t.co/e73p0eD7ql",Wed Apr 28 23:59:34 +0000 2021
"Apple TV+ earns first BAFTA TV Award noms for 'Tiny World,' 'Earth At Night In Color,' and 'Little America'… https://t.co/4x9dyf5aCs",Wed Apr 28 23:59:34 +0000 2021
RT @miransplaining: *mc ride voice* took a shit in the apple store i can’t feel no more,Wed Apr 28 23:59:34 +0000 2021
"Of all the episodes I've done, this one on Newfoundland dogs had my favorite unexpected story in it. 

Plus, Newfie… https://t.co/byN3zDJrp1",Wed Apr 28 23:59:33 +0000 2021
"@merry_mummy3 hey,
Have a look at this free mental health booster app (doesn't replace medicine) built by me. This… https://t.co/LtifgSWBBj",Wed Apr 28 23:59:33 +0000 2021
Spotify now has 158 million subscribers as war with Apple intensifies https://t.co/lzx1rjKSH4 $AAPL https://t.co/f3oJ3JTm5z,Wed Apr 28 23:59:32 +0000 2021
"RT @ENHYPEN_Charts: 🌏 Worldwide Apple Music Album Chart:

#9 BORDER : CARNIVAL

#BORDER_CARNIVAL
#ENHYPEN #엔하이픈
@ENHYPEN_members @ENHYPEN",Wed Apr 28 23:59:32 +0000 2021
"New reply to “Apple Releases macOS Big Sur 11.3, watchOS 7.4, and tvOS 14.5; Bringing Accessibility Fixes, Support… https://t.co/YXEPECUoMu",Wed Apr 28 23:59:32 +0000 2021
"RT @breerunway: it’s just that me, myself and iiiiiiii 😩....  https://t.co/uwSPWT7hCb",Wed Apr 28 23:59:32 +0000 2021
They get a thrill off turning you down but never gossip bout how you help them https://t.co/8hqGbweDtQ,Wed Apr 28 23:59:31 +0000 2021
"RT @RemotelyRenee: We actually are a stan account for @jemelehill 💯 

📺: https://t.co/kpyo8hDHwo

🎧: https://t.co/uL30naHTcv

🎨: @Heartlent…",Wed Apr 28 23:59:31 +0000 2021
@rTerraria I bet some people can't buy it cuz they forgot their passwords from google or apple,Wed Apr 28 23:59:31 +0000 2021
I do not believe in learning things. Nothing is retained. Education was made uo by big apple to sell more worms,Wed Apr 28 23:59:30 +0000 2021
"RT @GOT7CBinfo: [JTMA 2021 Voting Tutorial] 1/2

1️⃣ Download JOOX app

iOS: https://t.co/186Ljv7AvE

Google Play: https://t.co/1aTsNMnBSg…",Wed Apr 28 23:59:30 +0000 2021
