tweet,date
"Dear @Apple,
Your newest upgrade made me loose over a years worth of music.  Some of which were carefully curated p… https://t.co/9yrw09XAo5",Sat May 01 23:59:59 +0000 2021
I have a #teslamodel3 Not bc I think it’s good for the environment. It’s a great performing car and very convenient… https://t.co/jmrfYQPuMm,Sat May 01 23:59:59 +0000 2021
"“We gone be aiiiii———“

https://t.co/kbLmgvQCBo",Sat May 01 23:59:57 +0000 2021
"Now, I hate drinking energy drinks unless it’s mixed with alcohol but lemme tell you somethin. This watermelon Red… https://t.co/IQvF4bpPMY",Sat May 01 23:59:56 +0000 2021
RT @selenagomez: Listen to Past Life on @applemusic 🌼 #AListPop https://t.co/4901sAte3b https://t.co/fyC3xQj5cT,Sat May 01 23:59:53 +0000 2021
"RT @JoelOsteen: If we walked in their shoes, if we had their same experiences, we don’t know what kind of decisions we would make. Since Go…",Sat May 01 23:59:53 +0000 2021
@SurlyAmy Little known fact: Apple pies = 40% pears at minimum.,Sat May 01 23:59:52 +0000 2021
"It’s not a gas shortage, it’s a POSSIBLE labor shortage.  https://t.co/8QZt5YZFk9",Sat May 01 23:59:50 +0000 2021
"RT @kucoincom: #KuCoin 60s Crypto GemGem💎| @PancakeSwap $CAKE: The most salient AMM #DEX that might overtake #Uniswap

Listen Now⤵️
🎧Spotif…",Sat May 01 23:59:50 +0000 2021
"RT @btsvote_crew: 🧈 ARMY's please don't forget to:

✔ Pre-save on Spotify
✔ Pre-add on Apple Music
✔ Pre-order MP3 (if your from US)

🔗 htt…",Sat May 01 23:59:50 +0000 2021
I’m at work rn and I saw the notification on my Apple Watch. I deadass stopped the van in the middle of traffic to record that.,Sat May 01 23:59:50 +0000 2021
"@open__root @luxinfinitus Right, apple cider... never tried the dish soap but that makes sense as long as they'll still drink it.",Sat May 01 23:59:50 +0000 2021
"RT @TREASURE_stats: 🌏Worldwide Apple Music Album Chart — 05.01:

#191 TREASURE - THE FIRST STEP: TREASURE EFFECT (-11)

[Peak: #31 | Days:…",Sat May 01 23:59:49 +0000 2021
"RT @Tiffany88695712: Armys remember we're going premium for the next cb like we did for dynamite, as premium streams count more, so use up…",Sat May 01 23:59:49 +0000 2021
"RT @ughchile: dear android users Armys you can down download apple music on your android devices, some of y'all don't know about it but app…",Sat May 01 23:59:48 +0000 2021
"SOLD! &gt;&gt; SF201 BBQ Smoking Grilling Sawdust 500g Apple flavoured; Strong sweet fruity smoke, use with smoker box &lt;&lt;… https://t.co/stZEDSxANx",Sat May 01 23:59:48 +0000 2021
This is why we should have gone 100% renewable 10 years ago. https://t.co/gYM8RaNcnt,Sat May 01 23:59:48 +0000 2021
RT @MacRumors: iOS 14.6 Beta 1 Code Hints at Upcoming HiFi Apple Music Support https://t.co/eAwEX9gqjq by @SamiFathi_ https://t.co/6VE6jJqM…,Sat May 01 23:59:47 +0000 2021
"RT @alphalking: Laycon’s Shall We Begin is Charting at number 3 On Apple Music Gambia, moving towards that number 1 spot!!🤲🏾🔥",Sat May 01 23:59:45 +0000 2021
"RT @michaelpollan: Classic Raj Patel piece on the food system, don't miss: Food injustice has deep roots: let’s start with America’s apple…",Sat May 01 23:59:45 +0000 2021
they must have put crack in this demo theres no need for it to go this hard https://t.co/G2iBfMuLLA,Sat May 01 23:59:44 +0000 2021
Turkey arrests hundreds as May Day rallies sweep the globe - BBC News https://t.co/CtjOzJ20J8,Sat May 01 23:59:43 +0000 2021
@iamcardib Please Check out this latest Album with an Open mind. https://t.co/68Y2SoapgD,Sat May 01 23:59:42 +0000 2021
"@profgalloway @Apple Do I confess my love for prof G right now...? or on another occasion? 

As he likes to put it… https://t.co/TSBpM3O3pL",Sat May 01 23:59:41 +0000 2021
Why is Apple changing my lol to LOL? I am not that weak. I likely won’t even laughing honestly.,Sat May 01 23:59:41 +0000 2021
"RT @saintlay_: @iamcardib I feel you Cardi. A lot of people thinks he won’t succeed, now I am more determined to stream this song more than…",Sat May 01 23:59:41 +0000 2021
"@princessberpl This will get you far deeper into the star wars music than you ever knew you needed go go...

https://t.co/j4Hb2nUNIb",Sat May 01 23:59:40 +0000 2021
